time,kind,level,count,side,res,cost
2023-05-01 15:00:00,LEVEL,28100.475000000002,4,1,-1,0.016197697919481214
2023-05-01 15:00:00,LEVEL,28172.842857142856,7,1,-1,0.016239412256661638
2023-05-01 05:00:00,LEVEL,28304.059999999998,5,1,1,0.017376780308117328
2023-05-01 01:00:00,LEVEL,28393.359999999997,5,1,1,0.020129550479650805
2023-05-01 01:00:00,LEVEL,28502.583333333332,6,1,-1,0.020206984661511954
2023-05-01 01:00:00,LEVEL,28616.1,4,1,-1,0.020287462613820112
2023-05-01 01:00:00,LEVEL,28805.575,4,1,-1,0.02042179143496463
2023-05-01 01:00:00,LEVEL,28897.0,3,1,-1,0.02048660743957282
2023-05-01 01:00:00,LEVEL,29047.78,5,1,-1,0.020593503334293335
2023-05-01 01:00:00,LEVEL,29183.675000000003,4,1,-1,0.020689846467421374
2023-05-01 01:00:00,CONTROL,28719.04904186782,5,1,-1,0.020360448619530954
2023-05-01 01:00:00,CONTROL,28704.865231939297,5,1,-1,0.020350392968563613
2023-05-02 00:00:00,LEVEL,27978.833333333332,6,1,1,0.014389859474865652
2023-05-02 07:00:00,LEVEL,28100.475000000002,4,-1,-1,0.01813957879448074
2023-05-02 12:00:00,LEVEL,28176.237500000003,8,-1,-1,0.01788931965635601
2023-05-02 14:00:00,LEVEL,28304.059999999998,5,-1,-1,0.016412015873303484
2023-05-02 14:00:00,LEVEL,28393.359999999997,5,-1,-1,0.016463796183883873
2023-05-02 14:00:00,LEVEL,28502.583333333332,6,-1,-1,0.016527128973610923
2023-05-02 14:00:00,LEVEL,28616.1,4,-1,1,0.016592951238516306
2023-05-02 15:00:00,LEVEL,28705.433333333334,3,-1,1,0.016348221447046812
2023-05-02 19:00:00,LEVEL,28805.575,4,-1,1,0.0176127025374503
2023-05-03 14:00:00,LEVEL,28100.475000000002,4,1,1,0.01980475729010663
2023-05-03 13:00:00,LEVEL,28176.237500000003,8,1,1,0.01810775811861108
2023-05-03 12:00:00,LEVEL,28304.059999999998,5,1,1,0.018409144715447183
2023-05-03 02:00:00,LEVEL,28393.359999999997,5,1,1,0.018947064269925366
2023-05-03 00:00:00,LEVEL,28502.583333333332,6,1,-1,0.019122432577870024
2023-05-03 06:00:00,LEVEL,28616.1,4,-1,1,0.01895145180984707
2023-05-03 08:00:00,LEVEL,28705.433333333334,3,-1,1,0.019113461925272416
2023-05-03 21:00:00,LEVEL,28805.575,4,-1,-1,0.01684197986515869
2023-05-03 21:00:00,LEVEL,28897.0,3,-1,-1,0.016895434031901486
2023-05-03 21:00:00,LEVEL,29047.78,5,-1,1,0.016983591748734723
2023-05-03 22:00:00,LEVEL,29183.675000000003,4,-1,1,0.016571335285245323
2023-05-04 13:00:00,LEVEL,28718.800000000003,4,1,1,0.015707549523988583
2023-05-04 13:00:00,LEVEL,28805.575,4,1,1,0.01575501051156272
2023-05-04 13:00:00,LEVEL,28894.75,4,1,1,0.015803784162578834
2023-05-04 07:00:00,LEVEL,29047.78,5,1,-1,0.01649124385700346
2023-05-04 05:00:00,LEVEL,29183.675000000003,4,-1,1,0.016432249436936937
2023-05-04 10:00:00,CONTROL,29295.736788065155,4,-1,1,0.016245513070011527
2023-05-04 10:00:00,CONTROL,29300.790223288044,5,-1,1,0.016248315377000964
2023-05-05 12:00:00,LEVEL,28630.733333333334,6,1,1,0.019682129941925006
